epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,106.301,0.79529,2.29386,0.88157,0.9,0.04173,0.3659,0.3204,0.71673,3.46895,0.81317,0.000447846,0.000447846,0.000447846
44,108.802,0.85831,2.4789,0.8735,0.9,0.04817,0.3754,0.32161,0.70484,3.44003,0.81211,0.000457117,0.000457117,0.000457117
45,111.148,0.88789,2.29558,0.88506,0.9,0.04817,0.3754,0.32161,0.70484,3.44003,0.81211,0.00046633,0.00046633,0.00046633
46,113.575,0.87254,2.21156,0.84451,0.9,0.04975,0.4226,0.35481,0.71596,3.43071,0.8155,0.000475485,0.000475485,0.000475485
47,116.119,0.77468,2.05746,0.86866,0.9,0.04975,0.4226,0.35481,0.71596,3.43071,0.8155,0.000484582,0.000484582,0.000484582
48,118.538,0.75127,2.23092,0.85821,0.9,0.05332,0.42208,0.35431,0.72699,3.30526,0.81367,0.000493621,0.000493621,0.000493621
49,120.991,0.76048,2.15083,0.88277,0.9,0.05332,0.42208,0.35431,0.72699,3.30526,0.81367,0.000502601,0.000502601,0.000502601
50,123.407,0.72598,2.0777,0.87868,0.8,0.05998,0.41126,0.35932,0.6737,3.12485,0.80877,0.000511523,0.000511523,0.000511523
51,125.846,0.80292,1.90959,0.89065,0.8,0.05998,0.41126,0.35932,0.6737,3.12485,0.80877,0.000515235,0.000515235,0.000515235
52,128.365,0.8722,2.16216,0.88397,0.82134,0.21477,0.4449,0.40434,0.68228,2.90075,0.81724,0.00051378,0.00051378,0.00051378
53,130.689,0.76398,1.91031,0.88024,0.82134,0.21477,0.4449,0.40434,0.68228,2.90075,0.81724,0.000512324,0.000512324,0.000512324
54,133.225,0.74464,1.72147,0.85606,0.78804,0.25,0.44358,0.3866,0.6869,2.66943,0.82147,0.000510869,0.000510869,0.000510869
55,135.584,0.69734,1.79213,0.87827,0.78804,0.25,0.44358,0.3866,0.6869,2.66943,0.82147,0.000509414,0.000509414,0.000509414
56,137.954,0.71224,1.78375,0.88212,0.78076,0.4,0.50073,0.42884,0.65735,2.42297,0.82165,0.000507959,0.000507959,0.000507959
57,140.35,0.7364,1.63333,0.86467,0.78076,0.4,0.50073,0.42884,0.65735,2.42297,0.82165,0.000506503,0.000506503,0.000506503
58,142.803,0.74242,1.82381,0.90222,0.67822,0.45,0.51924,0.4544,0.64881,2.24452,0.81895,0.000505048,0.000505048,0.000505048
59,145.3,0.72676,1.52418,0.87061,0.67822,0.45,0.51924,0.4544,0.64881,2.24452,0.81895,0.000503593,0.000503593,0.000503593
60,147.734,0.73869,1.70602,0.893,0.68576,0.45,0.60524,0.54112,0.66097,2.11038,0.82221,0.000502137,0.000502137,0.000502137
61,150.15,0.65354,1.46368,0.88287,0.68576,0.45,0.60524,0.54112,0.66097,2.11038,0.82221,0.000500682,0.000500682,0.000500682
62,152.625,0.80288,1.58748,0.90402,0.65888,0.50598,0.65668,0.57556,0.67218,1.98149,0.82556,0.000499227,0.000499227,0.000499227
63,155.022,0.70138,1.49839,0.86624,0.65888,0.50598,0.65668,0.57556,0.67218,1.98149,0.82556,0.000497771,0.000497771,0.000497771
