epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,87.5177,0.8482,2.02594,0.98073,0.01651,0.91667,0.82914,0.69454,0.71499,3.22028,0.8875,0.000607932,0.000607932,0.000607932
42,89.6547,0.93911,2.26911,0.88662,0.01756,1,0.71966,0.59741,0.70067,3.05264,0.8932,0.000621231,0.000621231,0.000621231
43,91.7894,1.05681,1.80564,0.94255,0.01756,1,0.71966,0.59741,0.70067,3.05264,0.8932,0.000634448,0.000634448,0.000634448
44,93.9053,1.04153,1.89435,0.98408,0.01724,1,0.71072,0.59711,0.71386,2.87131,0.90008,0.000647583,0.000647583,0.000647583
45,96.0613,0.87321,1.42261,0.89606,0.01724,1,0.71072,0.59711,0.71386,2.87131,0.90008,0.000660635,0.000660635,0.000660635
46,98.2408,0.86481,1.63767,0.93976,0.94516,0.22506,0.76667,0.63217,0.75671,2.67924,0.91912,0.000673604,0.000673604,0.000673604
47,100.37,0.80106,1.39748,0.92358,0.94516,0.22506,0.76667,0.63217,0.75671,2.67924,0.91912,0.000686492,0.000686492,0.000686492
48,102.563,0.88021,1.55512,0.88105,0.87028,0.41667,0.82478,0.66557,0.80227,2.47642,0.92773,0.000699296,0.000699296,0.000699296
49,104.655,0.9664,1.64639,0.89232,0.87028,0.41667,0.82478,0.66557,0.80227,2.47642,0.92773,0.000712018,0.000712018,0.000712018
50,106.766,1.09647,1.90803,0.94439,0.84265,0.58333,0.81089,0.6692,0.74148,2.35518,0.92532,0.000724658,0.000724658,0.000724658
51,108.836,0.89252,2.20686,0.9748,0.84265,0.58333,0.81089,0.6692,0.74148,2.35518,0.92532,0.000729916,0.000729916,0.000729916
52,110.97,0.81247,1.65674,0.93707,0.60098,0.58333,0.82875,0.65498,0.7681,2.19525,0.9172,0.000727855,0.000727855,0.000727855
53,113.002,0.81848,1.40179,0.9059,0.60098,0.58333,0.82875,0.65498,0.7681,2.19525,0.9172,0.000725793,0.000725793,0.000725793
54,115.011,0.86126,1.67475,0.91188,0.55624,0.58333,0.76653,0.63686,0.81645,2.08235,0.91244,0.000723731,0.000723731,0.000723731
55,117.017,0.79923,1.55014,0.85944,0.55624,0.58333,0.76653,0.63686,0.81645,2.08235,0.91244,0.00072167,0.00072167,0.00072167
56,119.053,0.89242,1.59039,0.93656,0.6473,0.66667,0.80778,0.67448,0.7978,1.95199,0.89577,0.000719608,0.000719608,0.000719608
